frame,n,p50_us,p95_us,p99_us,max_us,over,temp_c,cur_khz,volt_uv,curr_ua,power_mw,aud_q,aud_under,aud_over
14700,60,25119,25898,26130,26130,60,39,408000,3936000,,,0,56,0
14760,60,24509,25327,25501,25501,49,40,408000,3920000,,,0,50,0
14820,60,24543,25327,25744,25744,58,40,600000,3937000,,,0,54,0
14880,60,22077,24704,25572,25572,40,39,1200000,3920000,,,3003,34,6
14940,60,6922,8899,23063,23063,2,41,1200000,3915000,,,1959,0,7
15000,60,4982,7535,8368,8368,0,42,1416000,3920000,,,2796,0,0
15060,60,4501,5330,5677,5677,0,42,1416000,3916000,,,1752,0,0
15120,60,6922,7827,8216,8216,0,43,1608000,3916000,,,2589,0,2
15180,60,7341,12232,12856,12856,0,43,1200000,3918000,,,734,3,9
15240,60,13341,16851,17661,17661,8,41,816000,3919000,,,734,39,0
15300,60,10670,11582,11808,11808,0,41,1008000,3918000,,,734,32,0
15360,60,11140,16744,16863,16863,5,41,408000,3925000,,,0,33,0
15420,60,16132,16885,17463,17463,16,40,408000,3945000,,,3003,29,26
15480,60,7959,37319,40697,40697,11,39,408000,3943000,,,1959,0,70
15540,60,8985,40169,41225,41225,14,39,408000,3943000,,,2796,0,60
15600,60,9287,41202,41257,41257,15,38,408000,3942000,,,3633,0,62
15660,60,9142,41940,42034,42034,11,38,408000,3942000,,,2589,0,66
15720,60,9602,41150,42667,42667,17,38,408000,3943000,,,3426,0,62
15780,60,9572,40686,41298,41298,17,37,408000,3943000,,,2382,0,59
15840,60,9461,41243,42392,42392,15,38,408000,3939000,,,3219,0,59
15900,60,9598,40563,41860,41860,15,38,408000,3939000,,,2175,0,63
15960,60,9615,40060,40104,40104,15,38,408000,3937000,,,3012,0,58
